spider_id,period_hr,period_p_value,mean_phase_ZT,vector_strength,is_significant,is_entrained,total_activity
Lc8,23.71460096,1.28e-10,14.962469813248166,0.5569302956103361,True,True,1576
Lc65,24.04474829,0.0,17.043553490990266,0.6512674525881695,True,True,10373
Lc72,24.73341005,0.813202957,14.604733550474357,0.32438569153558716,False,True,1278
Lc73,23.9494862,1.0,16.076468920185235,0.3296330113777929,False,True,1251
Lc74,24.28625235,2.0100000000000002e-29,15.689902673222239,0.7149481212910275,True,True,1902
Lc75,24.04474829,1.39e-34,15.54519554678508,0.7191283731556181,True,True,2072
Lc76,23.9494862,9.87e-109,15.463881883065298,0.7074707528334536,True,True,3575
Lc78,23.85497595,6.22e-06,14.65980025845879,0.48948468991188787,True,True,1567
Lc79,24.3351365,0.807817196,16.81470379218998,0.401854270968545,False,True,1242
Lc81,24.04474829,8.22e-204,15.834129686863617,0.7535488621190147,True,True,4539
Lc82,24.04474829,0.0,16.020514713744888,0.7706679562997197,True,True,6255
Lc85,24.1890709,0.0,15.548497488966476,0.5749388019760042,True,True,7817
Lc87,24.78411275,1.11e-18,18.66766100259101,0.20607344053011167,True,True,3205
Lc100,23.9970227,1.44e-82,15.464690957942477,0.7352413445372844,True,True,3019
Lc6,23.90213765,2.05e-265,16.406207125166834,0.654283646229126,True,True,5920
Lc11,24.3351365,4e-174,16.024564900411747,0.6568951830338554,True,True,4695
Lc13,24.04474829,9.45e-121,15.569486585446189,0.6044049805288018,True,True,4398
Lc14,23.9970227,0.0,14.551773685305655,0.8491441121353228,True,True,5319
Lc15,23.85497595,1.03e-290,17.494132311523543,0.6691511151183106,True,True,5971
Lc90,24.04474829,2.27e-195,16.349898401492155,0.6032667042710139,True,True,5535
Lc92,23.85497595,1.35e-72,15.625321634716933,0.5484255119696977,True,True,3767
Lc93,24.3351365,1.73e-118,15.985666630652887,0.6640980592167403,True,True,3807
Lc95,23.9970227,2.2500000000000002e-124,15.693929673390846,0.7202417702169617,True,True,3742
LcF23,24.27984273,0.0,16.10083396844348,0.6857554283926203,True,True,5830
LcF22,23.96894882,1.08e-180,16.223051880605716,0.6256127566617784,True,True,4524
LcF21,23.96894882,1.73e-15,15.252326411982025,0.6286402741896757,True,True,1486
LcF20,24.34299183,0.0,15.639140416518135,0.7390552936262188,True,True,6293
LcF19,24.21702042,3.79e-125,15.964431169236006,0.7535823342510031,True,True,3066
LcF11,23.31223974,1.03e-140,21.52667227348918,0.5428986963618625,True,True,4044
LcF5,23.6062266,2.09e-45,17.67199849373499,0.665562827817324,True,True,2111
LcF6,23.96894882,3.24e-88,15.522879021493656,0.7478820520467099,True,True,2680
LcF2,23.90772301,1.77e-80,15.179313409432583,0.7437838881628706,True,True,2576
